atlas_id,roi_uid,roi_original_index,global_original_column,roi_name,roi_label,description,hemisphere,network,x,y,z,metadata_source,metadata_version,metadata_license,metadata_sha256
HO112,ho112:roi015,15,131,Temporal Pole (L),80,cortical,L,,-40.6272340425532,11.14382978723404,-29.702978723404257,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi016,16,132,Temporal Pole (R),81,cortical,R,,40.70055061414655,13.069038542990256,-29.833968657348578,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi017,17,133,"Superior Temporal Gyrus, anterior division (L)",90,cortical,L,,-56.189723320158095,-3.652173913043484,-8.324110671936765,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi018,18,134,"Superior Temporal Gyrus, anterior division (R)",91,cortical,R,,57.67164179104478,-0.5074626865671661,-10.23880597014925,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi019,19,135,"Superior Temporal Gyrus, posterior division (L)",100,cortical,L,,-60.645381984036476,-27.36374002280502,2.364880273660205,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi020,20,136,"Superior Temporal Gyrus, posterior division (R)",101,cortical,R,,60.30849947534103,-23.292759706190978,1.5760755508919146,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi021,21,137,"Middle Temporal Gyrus, anterior division (L)",110,cortical,L,,-57.614349775784746,-4.044843049327355,-22.3542600896861,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi022,22,138,"Middle Temporal Gyrus, anterior division (R)",111,cortical,R,,57.90547263681592,-1.3084577114427844,-24.701492537313435,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi023,23,139,"Middle Temporal Gyrus, posterior division (L)",120,cortical,L,,-61.31338582677165,-27.285039370078735,-11.54330708661417,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi024,24,140,"Middle Temporal Gyrus, posterior division (R)",121,cortical,R,,61.494820717131475,-22.390438247011957,-12.780876494023907,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi025,25,141,"Middle Temporal Gyrus, temporooccipital part (L)",130,cortical,L,,-57.84290738569754,-53.0715123094959,0.834701055099643,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi026,26,142,"Middle Temporal Gyrus, temporooccipital part (R)",131,cortical,R,,58.40660295395308,-49.15899218071242,1.5377932232840976,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi027,27,143,"Inferior Temporal Gyrus, anterior division (L)",140,cortical,L,,-48.29090909090908,-5.078787878787878,-39.35151515151515,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi028,28,144,"Inferior Temporal Gyrus, anterior division (R)",141,cortical,R,,46.32807570977918,-2.391167192429023,-41.261829652996845,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi029,29,145,"Inferior Temporal Gyrus, posterior division (L)",150,cortical,L,,-53.65025125628139,-28.594974874371857,-26.018090452261305,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi030,30,146,"Inferior Temporal Gyrus, posterior division (R)",151,cortical,R,,53.59450897571278,-23.43822597676875,-28.261879619852166,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi031,31,147,"Inferior Temporal Gyrus, temporooccipital part (L)",160,cortical,L,,-51.93678160919541,-53.47701149425288,-16.59770114942529,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi032,32,148,"Inferior Temporal Gyrus, temporooccipital part (R)",161,cortical,R,,54.23772609819122,-49.84754521963825,-16.813953488372093,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
